transaction_id,member_id,isbn,checkout_date,return_date,branch_id
TXN000000,M93810,978-0-126225-45-7,2024-08-17,2024-08-25,BR012
TXN000001,M28289,978-0-334053-27-9,2024-08-15,2024-09-02,BR011
TXN000002,M21395,978-0-809570-79-9,2023-12-27,,BR001
TXN000003,M38657,978-0-719176-64-7,2025-09-24,,BR010
TXN000004,M36062,978-0-131244-21-4,2025-02-08,2025-02-16,BR012
TXN000005,M68878,978-0-343962-74-6,2024-06-29,2024-07-24,BR013
TXN000006,M30926,978-0-688508-35-7,2025-10-06,2025-10-13,BR006
TXN000007,M54118,978-1-331148-67-8,2025-08-11,,BR007
TXN000008,M55082,978-1-948749-10-7,2024-11-10,,BR013
TXN000009,M70217,978-0-832052-64-4,2024-02-02,2024-02-20,BR015
TXN000010,M48427,978-1-391369-29-7,22/09/2025,2025-10-04,BR010
TXN000011,M85674,978-0-900581-53-3,2023-10-16,,BR002
TXN000012,M39871,978-0-197251-58-4,2025-04-23,2025-05-21,BR002
TXN000013,M23238,978-0-476417-54-0,2025-07-16,2025-07-28,BR008
TXN000014,M31319,978-1-946335-15-9,2024-04-24,2024-05-17,BR004
TXN000015,M99593,978-1-662275-25-8,2024-01-10,2024-01-28,BR010
TXN000016,M42087,978-1-182627-80-3,2023-12-04,2024-01-03,BR007
TXN000017,M93886,978-1-969693-90-8,2024-03-18,2024-04-14,BR004
TXN000018,M17331,978-1-705397-34-3,2024-08-18,2024-08-31,BR001
TXN000019,M45093,978-0-148050-94-5,2024-11-09,2024-12-08,BR015
TXN000020,M51245,978-0-910620-47-5,2023-11-19,2023-12-19,BR008
TXN000021,M94259,978-0-996865-39-5,2024-02-11,2024-03-06,BR005
TXN000022,M83579,978-0-498591-45-7,2024-05-17,2024-06-15,BR012
TXN000023,M86484,978-1-766563-56-5,2023-11-24,2023-11-29,BR004
TXN000024,M76784,978-0-488162-55-1,2024-12-10,,BR013
TXN000025,M24371,978-0-802729-44-6,2024-04-05,2024-04-19,  BR003 
TXN000026,M88172,978-0-738720-91-3,2025-10-11,2025-10-26,BR007
TXN000027,M79352,978-0-660086-41-5,2024-02-06,2024-02-07,BR009
TXN000028,M99166,978-0-584714-58-6,2024-02-04,2024-02-29,BR011
TXN000029,M44973,978-1-771088-98-5,19/01/2025,2025-02-02,BR006
TXN000030,M30730,978-0-817870-51-5,2024-11-27,2024-12-06,BR012
TXN000031,M75612,978-0-340174-14-2,2024-01-15,2024-02-12,BR009
TXN000032,M91959,978-1-520651-44-6,2025-09-24,2025-10-01,BR011
TXN000033,M30032,978-0-321231-82-6,2024-04-26,2024-05-21,BR003
TXN000034,M79514,978-1-322955-93-3,2024-03-24,2024-03-25,BR010
TXN000035,M24662,978-1-514850-92-3,2024-06-12,2024-07-08,BR015
TXN000036,,978-1-249811-43-5,2024-06-22,2024-06-25,BR004
TXN000037,M21226,978-0-358607-81-6,2025-03-15,,BR014
TXN000038,M79822,978-1-883300-84-5,18/10/2024,2024-11-05,BR003
TXN000039,M31643,978-1-711878-61-4,2025-01-05,2025-01-12,BR014
TXN000040,M80686,978-1-329974-27-2,2025-02-03,2025-02-13,BR012
TXN000041,M62296,978-1-195325-16-1,2025-02-10,2025-03-11,BR011
TXN000042,M77839,978-0-260265-90-6,2025-10-02,2025-10-13,BR004
TXN000043,M12757,978-0-930555-97-9,2025-02-04,2025-02-05,BR004
TXN000044,M19305,978-1-725380-18-9,2025-08-14,2025-09-12,BR001
TXN000045,M14117,978-1-500156-86-2,2025-05-31,2025-06-09,BR002
TXN000046,M97684,978-1-654816-42-1,2025-01-14,2025-02-13,BR009
TXN000047,M84847,978-0-813328-24-9,2024-01-23,2024-02-18,BR004
TXN000048,M63354,978-1-905934-92-8,2024-08-12,2024-08-24,BR002
TXN000049,M65519,978-1-216970-47-9,2024-05-19,2024-06-10,BR014
TXN000050,M95649,978-1-265840-68-6,2024-10-03,,BR002
TXN000051,M54473,978-0-857168-43-6,12/19/2024,2024-12-26,BR002
TXN000052,M80292,978-0-632342-23-5,2024-03-16,2024-03-31,BR007
TXN000053,M42742,978-1-982554-91-0,2023-11-21,2023-12-19,BR002
TXN000054,M82132,978-0-260263-57-5,2024-04-05,2024-05-02,BR011
TXN000055,M11934,978-0-665579-77-6,2025-09-17,2025-09-25,BR015
TXN000056,M31798,978-0-728038-51-6,2025-09-01,2025-09-14,BR008
TXN000057,,978-1-120422-24-8,2024-06-23,2024-07-02,BR001
TXN000058,M69638,978-1-972064-49-8,15/09/2025,2025-10-11,BR012
TXN000059,M82845,978-0-160738-40-1,08/27/2024,2024-09-06,BR008
TXN000060,M38534,978-0-189814-72-8,2025-02-13,2025-02-15,BR010
TXN000061,M51104,978-0-897549-78-3,2024-05-05,2024-06-04,BR010
TXN000062,M79615,978-0-234628-94-2,2025-03-01,,BR009
TXN000063,M34356,978-1-676510-31-4,2024-07-09,2024-07-17,BR002
TXN000064,M62923,978-1-653306-87-9,2024-01-10,2024-01-29,BR015
TXN000065,M87924,978-1-322086-79-8,2024-03-02,2024-03-21,BR002
TXN000066,M84085,978-0-847581-49-8,2025-09-29,2025-10-21,BR015
TXN000067,M51180,978-1-804314-93-7,16/11/2023,2023-12-07,BR007
TXN000068,M49321,978-1-559381-76-5,2024-08-30,2024-09-02,BR015
TXN000069,M11220,978-1-226882-41-0,01/16/2025,2025-01-19,BR010
TXN000070,M80468,978-0-167136-53-8,2024-12-30,2025-01-11,BR005
TXN000071,M19016,978-0-716886-80-8,2023-11-27,2023-12-12,BR006
TXN000072,M81200,978-0-717024-38-4,2024-02-05,2024-03-02,BR010
TXN000073,M95717,978-0-174441-90-8,2023-12-05,2023-12-15,BR011
TXN000074,M96951,978-0-340062-18-0,2025-06-09,2025-06-13,BR015
TXN000075,M24029,978-0-446479-19-6,2025-02-28,2025-03-20,BR003
TXN000076,M37607,978-0-392004-95-4,2025-04-02,2025-04-30,BR004
TXN000077,M44600,978-1-324643-79-1,2025-04-23,2025-05-21,BR005
TXN000078,M16658,978-0-858490-83-3,2024-09-21,2024-09-23,BR007
TXN000079,,978-1-354801-70-3,2025-05-30,2025-06-08,BR003
TXN000080,M31178,978-1-299659-22-3,2025-02-05,2025-02-23,BR009
TXN000081,M11267,978-0-790993-65-2,03/10/2024,2024-03-15,BR015
TXN000082,M81511,978-1-322086-79-8,2024-11-18,2024-11-23,BR006
TXN000083,,978-1-544154-62-6,2023-10-23,2023-11-22,BR005
TXN000084,M15229,978-1-864491-16-6,2025-03-12,2025-04-03,  BR004 
TXN000085,M23473,978-0-163556-61-3,10/19/2024,2024-11-02,BR009
TXN000086,M91351,978-1-939482-23-5,2025-06-17,2025-07-15,BR015
TXN000087,M31299,978-0-300896-34-3,2024-09-10,2024-09-24,BR013
TXN000088,M13248,978-1-246991-64-2,2025-03-12,2025-04-11,BR015
TXN000089,M63964,978-0-392075-69-5,2025-07-14,2025-07-22,BR014
TXN000090,M44970,978-0-179046-66-5,2025-05-07,2025-06-04,BR012
TXN000091,M15075,978-0-153045-93-6,2025-07-12,2025-08-11,BR004
TXN000092,M70332,978-0-197793-40-4,2024-02-12,2024-02-20,BR014
TXN000093,M39219,978-1-322086-79-8,05/19/2024,2024-05-28,BR004
TXN000094,M19099,978-0-526156-72-6,2024-11-05,2024-11-22,BR005
TXN000095,M62386,978-1-324130-61-1,2024-01-26,2024-01-27,BR014
TXN000096,M25118,978-0-272634-58-5,2024-08-31,2024-09-09,BR005
TXN000097,M15014,978-0-509386-43-0,04/04/2024,2024-04-30,BR007
TXN000098,M51114,978-1-399105-64-4,10/04/2025,2025-05-09,BR009
TXN000099,M85574,978-1-262316-34-4,2025-08-04,2025-08-05,BR001
TXN000100,M78146,978-1-328275-17-2,12/04/2025,2025-05-06,BR009
TXN000101,M97900,978-0-884309-50-5,2025-08-12,,BR007
TXN000102,M97062,978-0-152578-84-8,07/07/2024,2024-08-04,BR010
TXN000103,M26334,978-1-627276-77-1,2025-06-06,2025-06-28,BR005
TXN000104,M63528,978-0-159642-75-7,2025-01-29,2025-02-03,BR012
TXN000105,M35144,978-0-992697-33-4,2023-12-24,2024-01-22,BR007
TXN000106,M32810,978-0-723939-18-4,2025-06-14,2025-07-11,BR005
TXN000107,M10053,978-0-523389-25-7,2025-09-30,2025-10-19,BR004
TXN000108,M89516,978-0-707040-86-8,2025-01-25,2025-02-16,BR008
TXN000109,M38010,978-0-749468-20-0,2024-12-15,2025-01-10,BR013
TXN000110,M32241,978-1-789305-84-5,2025-05-19,2025-06-09,BR005
TXN000111,M91167,978-1-373432-36-0,2024-04-24,2024-05-02,BR014
TXN000112,M98184,978-1-350280-43-4,2024-01-01,2024-01-02,BR013
TXN000113,M16057,978-1-237235-95-3,2025-02-26,2025-03-23,BR008
TXN000114,M19545,978-1-579434-50-2,12/01/2025,2025-01-19,BR015
TXN000115,M60328,978-0-109767-68-4,2025-05-15,2025-06-07,BR004
TXN000116,M10726,978-0-176819-78-1,2025-03-30,2025-04-03,BR014
TXN000117,M65724,978-0-630458-43-3,21/12/2023,2024-01-07,BR013
TXN000118,M70889,978-0-465962-18-1,2024-08-09,2024-08-13,BR004
TXN000119,M69829,978-0-487477-46-5,2024-02-04,2024-02-22,BR008
TXN000120,,978-0-559469-79-4,2025-05-26,2025-06-15,BR013
TXN000121,M76162,978-1-741390-93-3,2025-07-10,2025-08-08,BR015
TXN000122,,978-0-800305-80-2,2024-06-19,2024-07-14,BR008
TXN000123,M42406,978-1-795613-23-1,2023-11-19,2023-12-06,BR005
TXN000124,M73517,978-0-377312-24-1,2025-04-17,2025-05-10,BR005
TXN000125,M47450,978-0-878480-80-7,2024-03-23,2024-04-10,BR006
TXN000126,M20561,978-0-385577-46-5,2023-10-19,2023-10-24,  BR004 
